error_rate,cosine_distance,cosine_similarity,euclidean_distance,manhattan_distance,original,final,word_count
0.0,0.01556307077407837,0.9844369292259216,0.17642593383789062,2.748323678970337,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog as the sun shines in the bright blue sky,19
0.05,0.0,1.0,0.0,0.0,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,19
0.1,0.036340534687042236,0.9636594653129578,0.26959457993507385,4.168940544128418,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines in its full glory in the blue and clear skies.,19
0.15,0.025667011737823486,0.9743329882621765,0.22657015919685364,3.4676673412323,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines in all its glory in the bright blue sky.,19
0.2,0.017297744750976562,0.9827022552490234,0.1859988272190094,2.8718297481536865,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines brightly in the bright blue sky.,19
0.25,0.017297744750976562,0.9827022552490234,0.1859988272190094,2.8718297481536865,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines brightly in the bright blue sky.,19
0.3,0.022827208042144775,0.9771727919578552,0.21366927027702332,3.305914878845215,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,"The quick brown fox jumps over the lazy dog, while the sun shines brightly in the bright blue sky.",19
0.35,0.015208303928375244,0.9847916960716248,0.17440325021743774,2.72015643119812,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky.,19
0.4,0.02322477102279663,0.9767752289772034,0.21552205085754395,3.3126792907714844,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines in its full glory in the bright blue sky.,19
0.45,0.0,1.0,0.0,0.0,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,19
0.5,0.017297744750976562,0.9827022552490234,0.1859988272190094,2.8718297481536865,The quick brown fox jumps over the lazy dog while the sun shines brightly in the clear blue sky,The quick brown fox jumps over the lazy dog while the sun shines brightly in the bright blue sky.,19
